VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,145080.0,3811251.5999999954,142049.0,5101919.509999936,672819.3100000119,260999.19999999658,68601.68000000001,1290667.909999941,25.2976925149483,0.9791080783016267,1.338646734841631
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,164038.0,3804041.220000007,160247.0,4819073.489999957,561512.3699999958,294438.6599999971,144929.24,1015032.2699999502,21.06280952357834,0.9768895012131336,1.266829987189242
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,187407.0,3418303.6799999974,187140.0,4538120.599999962,461140.1499999908,343854.069999996,123780.21999999997,1119816.919999965,24.675785830812302,0.9985752933454993,1.327594334743239
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,201682.0,3261197.9399999985,200412.0,4475972.879999964,420050.0099999934,368242.7999999952,257032.07000000007,1214774.939999965,27.139908408023572,0.9937029581221923,1.372493470911479
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,138109.0,3023206.0100000044,135838.0,4223107.6199999545,545778.2799999941,249587.82999999722,257032.07000000007,1199901.60999995,28.41276420040565,0.9835564662693959,1.3968970708681372
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,138809.0,2466635.929999997,141860.0,3383912.39999996,446932.08999999217,111699.19000000137,89286.26999999999,917276.469999963,27.106980369822036,1.0219798428055817,1.3718734730341677
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,70783.0,2177285.0799999954,69627.0,2773367.729999987,614529.3400000035,127931.67000000145,123780.21999999997,596082.6499999915,21.493098212403098,0.9836683949535906,1.2737733590678868
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,161386.0,2088334.8400000026,148265.0,2592041.349999994,292586.2900000067,272422.5999999982,257032.07000000007,503706.5099999914,19.432811517454866,0.9186980283295949,1.2412000701956352
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,91835.0,1903739.5500000026,90481.0,2640491.1899999795,503661.0199999905,166244.43999999925,257032.07000000007,736751.6399999768,27.902067720967572,0.9852561659498013,1.387002329178892
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,108866.0,1773427.14,107061.0,2435393.390000001,426902.77999999316,196707.349999999,123880.96999999999,661966.2500000012,27.18108099981338,0.9834199842007606,1.3732694933269156
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750.0,93205.0,1530426.0999999992,91247.0,2148965.530000001,436011.6399999933,71840.56999999919,123780.21999999997,618539.430000002,28.783124780973186,0.9789925433184915,1.4041615795757811
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,66942.0,1498161.9599999983,61433.0,1840615.67,442856.1999999936,112875.19000000163,257032.07000000007,342453.7100000016,18.605389250000336,0.917704878850348,1.2285825692704158
480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750.0,69001.0,1478001.4199999992,70122.0,2189368.779999997,495957.8299999906,128839.0800000014,89286.26999999999,711367.3599999978,32.49189293728756,1.0162461413602701,1.4813035700601682
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,215668.0,1460072.36,214238.0,2326007.7799999993,189608.96000000642,24083.769999999873,17587.59,865935.4199999992,37.228397404586474,0.9933694382105829,1.5930770581808693
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750.0,42951.0,1452173.3100000033,41639.0,2009508.6099999964,662320.0400000074,32783.09000000016,68054.70000000003,557335.2999999931,27.734904803418285,0.9694535633629019,1.3837939288389702
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750.0,31596.0,1414552.9199999995,28372.0,1739044.279999999,507291.4299999955,52133.720000000445,257032.07000000007,324491.35999999964,18.659177556996983,0.897961767312318,1.2293949949924812
17035,PERNOD RICARD USA,5364,Kahlua,23.07,29.99,1750.0,60645.0,1399080.1500000027,59771.0,1844950.290000005,504735.0599999905,109817.07000000183,123780.21999999997,445870.1400000022,24.16705438714021,0.9855882595432435,1.318688060866278
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,33.99,1750.0,64249.0,1396130.77,65184.0,2068091.1600000067,494487.64999999106,119767.49000000146,257032.07000000007,671960.3900000066,32.49181675337776,1.0145527556849134,1.4813018983887924
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,39.99,1750.0,47546.0,1373128.4799999972,47966.0,1884307.3400000036,596574.9300000014,88129.80000000147,257032.07000000007,511178.8600000064,27.128210411790114,1.0088335506667228,1.372273146646851
